

Category_ID,Name,Description,Created_At
CAT-001,Fruits & Vegetables,Fresh produce and vegetables,2024-01-01
CAT-002,Oils & Fats,Cooking oils and fats,2024-01-01
CAT-003,Dairy,Milk, cheese, and dairy products,2024-01-01
CAT-004,Grains & Pulses,Grains, rice, and pulses,2024-01-01
CAT-005,Seafood,Fresh and packaged seafood,2024-01-01
CAT-006,Bakery,Bread and baked goods,2024-01-01
CAT-007,Beverages,Coffee, tea, and drinks,2024-01-01
CAT-008,Tea,All types of tea,2024-01-01
CAT-009,Sugar,All types of sugar,2024-01-01
CAT-010,Bread,All types of bread,2024-01-01
CAT-011,Biscuit,All types of biscuits,2024-01-01
CAT-012,Rice,All types of rice,2024-01-01
CAT-013,Cheese,All types of cheese,2024-01-01
CAT-014,Coffee,All types of coffee,2024-01-01
CAT-015,Oil,All types of oil,2024-01-01
CAT-016,Fish,All types of fish,2024-01-01
CAT-017,Others,Other produce and products,2024-01-01
