Product_Name,Catagory,Supplier_Name,Warehouse_Location,Status,Product_ID,Supplier_ID,Date_Received,Last_Order_Date,Expiration_Date,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Sales_Volume,Inventory_Turnover_Rate,percentage
Apple,Fruits & Vegetables,FreshFarm,101 Orchard Lane,Active,10-111-1111,20-222-2222,9/10/2025,9/15/2025,10/10/2025,120,30,50,$2.00,150,80,2.50%
Whole Milk,Dairy,DairyPure,202 Creamery Rd,Backordered,11-222-3333,21-333-4444,10/1/2025,10/10/2025,11/1/2025,80,20,40,$3.50,90,60,2.00%
Brown Rice,Grains & Pulses,GrainCo,303 Rice Blvd,Active,12-333-4444,22-444-5555,11/5/2025,11/10/2025,12/15/2025,200,50,100,$1.80,210,95,2.10%
Salmon,Seafood,SeaHarvest,404 Ocean Ave,Discontinued,13-444-5555,23-555-6666,12/1/2025,12/10/2025,1/5/2026,60,15,30,$8.00,70,40,2.30%
Butter,Dairy,GoldenDairy,505 Butter St,Active,14-555-6666,24-666-7777,1/10/2026,1/15/2026,2/20/2026,90,25,45,$4.00,100,70,2.40%
Spinach,Fruits & Vegetables,GreenLeaf,606 Veggie Rd,Backordered,15-666-7777,25-777-8888,2/5/2026,2/10/2026,3/15/2026,110,35,55,$2.20,120,85,2.60%
Olive Oil,Oils & Fats,Olivia,707 Olive Dr,Active,16-777-8888,26-888-9999,3/1/2026,3/10/2026,4/20/2026,75,20,35,$6.50,80,50,2.20%
Baguette,Bakery,BreadWorks,808 Baker St,Discontinued,17-888-9999,27-999-0000,4/5/2026,4/10/2026,5/15/2026,55,10,25,$3.00,60,30,2.10%
Eggs,Dairy,HenHouse,909 Egg Rd,Active,18-999-0000,28-000-1111,5/1/2026,5/10/2026,6/20/2026,130,40,60,$2.50,140,90,2.70%
Orange Juice,Beverages,Juicy,1001 Citrus Ave,Backordered,19-000-1111,29-111-2222,6/10/2026,6/15/2026,7/25/2026,95,25,45,$3.80,100,60,2.30%
Chicken Breast,Meat,PoultryPro,1102 Farm Rd,Active,20-111-2222,30-222-3333,7/5/2026,7/10/2026,8/20/2026,85,20,40,$7.00,90,55,2.40%
Greek Yogurt,Dairy,Yoguru,1203 Dairy Lane,Active,21-222-3333,31-333-4444,8/1/2026,8/10/2026,9/15/2026,100,30,50,$1.90,110,75,2.50%
Tuna,Seafood,BlueSea,1304 Harbor St,Backordered,22-333-4444,32-444-5555,9/10/2026,9/15/2026,10/20/2026,70,15,35,$5.50,75,45,2.20%
Banana,Fruits & Vegetables,TropiFresh,1405 Banana Blvd,Active,23-444-5555,33-555-6666,10/1/2026,10/10/2026,11/15/2026,150,40,70,$1.20,160,100,2.80%
Coffee,Beverages,CafeCo,1506 Java Ave,Discontinued,24-555-6666,34-666-7777,11/5/2026,11/10/2026,12/20/2026,60,10,30,$9.00,65,35,2.10%
Broccoli,Fruits & Vegetables,GreenLeaf,1607 Veggie Rd,Active,25-666-7777,35-777-8888,9/20/2025,9/25/2025,10/20/2025,100,25,50,$2.30,110,70,2.40%
Almonds,Grains & Pulses,NutriCo,1708 Nut St,Backordered,26-777-8888,36-888-9999,10/5/2025,10/10/2025,11/15/2025,90,20,40,$5.00,95,60,2.20%
Shrimp,Seafood,SeaHarvest,1809 Ocean Ave,Active,27-888-9999,37-999-0000,11/1/2025,11/10/2025,12/10/2025,80,15,35,$10.00,85,50,2.30%
Mozzarella Cheese,Dairy,GoldenDairy,1901 Cheese St,Discontinued,28-999-0000,38-000-1111,12/5/2025,12/10/2025,1/15/2026,70,20,30,$4.50,75,40,2.10%
Tomato,Fruits & Vegetables,FreshFarm,2002 Orchard Lane,Active,29-000-1111,39-111-2222,1/10/2026,1/15/2026,2/10/2026,120,30,50,$1.80,130,80,2.50%
Sunflower Oil,Oils & Fats,Olivia,2103 Oil Dr,Backordered,30-111-2222,40-222-3333,2/5/2026,2/10/2026,3/20/2026,85,20,40,$6.00,90,55,2.30%
Bagel,Bakery,BreadWorks,2204 Baker St,Active,31-222-3333,41-333-4444,3/1/2026,3/10/2026,4/15/2026,60,10,25,$2.80,65,30,2.10%
Duck Eggs,Dairy,HenHouse,2305 Egg Rd,Backordered,32-333-4444,42-444-5555,4/5/2026,4/10/2026,5/20/2026,110,35,55,$3.00,115,85,2.60%
Apple Juice,Beverages,Juicy,2406 Citrus Ave,Active,33-444-5555,43-555-6666,5/1/2026,5/10/2026,6/25/2026,95,25,45,$3.50,100,60,2.30%
Pork Chop,Meat,PoultryPro,2507 Farm Rd,Discontinued,34-555-6666,44-666-7777,6/10/2026,6/15/2026,7/30/2026,75,20,40,$8.00,80,55,2.40%
Cottage Cheese,Dairy,Yoguru,2608 Dairy Lane,Active,35-666-7777,45-777-8888,7/5/2026,7/10/2026,8/25/2026,90,30,50,$2.20,95,75,2.50%
Mackerel,Seafood,BlueSea,2709 Harbor St,Backordered,36-777-8888,46-888-9999,8/1/2026,8/10/2026,9/20/2026,60,15,35,$6.00,65,45,2.20%
Pineapple,Fruits & Vegetables,TropiFresh,2810 Banana Blvd,Active,37-888-9999,47-999-0000,9/10/2026,9/15/2026,10/25/2026,140,40,70,$2.50,145,100,2.80%
Green Tea,Beverages,CafeCo,2911 Java Ave,Discontinued,38-999-0000,48-000-1111,10/1/2026,10/10/2026,11/20/2026,55,10,30,$7.00,60,35,2.10%
Cucumber,Fruits & Vegetables,FreshFarm,3012 Orchard Lane,Active,39-000-1111,49-111-2222,11/5/2026,11/10/2026,12/15/2026,110,30,50,$1.60,115,80,2.50%
Cashews,Grains & Pulses,NutriCo,3113 Nut St,Backordered,40-111-2222,50-222-3333,12/1/2026,12/10/2026,1/20/2027,80,20,40,$6.50,85,60,2.20%
Crab,Seafood,SeaHarvest,3214 Ocean Ave,Active,41-222-3333,51-333-4444,1/10/2026,1/15/2026,2/20/2026,70,15,35,$12.00,75,50,2.30%
Swiss Cheese,Dairy,GoldenDairy,3315 Cheese St,Discontinued,42-333-4444,52-444-5555,2/5/2026,2/10/2026,3/15/2026,60,20,30,$5.00,65,40,2.10%
Lettuce,Fruits & Vegetables,GreenLeaf,3416 Veggie Rd,Active,43-444-5555,53-555-6666,3/1/2026,3/10/2026,4/20/2026,120,25,50,$1.70,125,70,2.40%
